type;id;name;dy_avg;dy_trend;pvp_avg;pvp_trend;liq_avg;vac_avg;equity_trend;score;pl_avg;roe_avg;roic_avg
FII;28;KNIP11;11,62%;2,74;0,992798777;0,069869361;11155836,83;0;-419837882,8;2,558216834;;;
FII;56;MXRF11;11,80%;-3,08;1,011050342;-0,066040817;10605173,99;0;-1964093585;0,718028605;;;
FII;552;GARE11;11,02%;-2,76;0,953392524;0,042666403;5263138,267;0;-2095065838;-0,064661434;;;
FII;10;KNCR11;11,75%;-7,79;1,021962262;-0,02998301;14792914,83;0;-7018319283;-1,439550996;;;
FII;85;BTLG11;8,86%;-1,87;1,003047629;0,07014675;9148425,66;1,833333333;-5583111033;-1,856644619;;;
FII;48;XPML11;9,09%;-5,22;0,936245079;-0,094893653;11390448,83;4,133333333;-5180853712;-2,237897281;;;
FII;24;HGLG11;8,65%;-0,76;1,021549314;0,251945632;9735671,63;7,416666667;-4413967990;-2,908864271;;;
STOCK;42;BBAS3;0,00%;0;0,694677861;-0,010894704;0;0;0;-3,451599896;6,026037918;13,17500644;11,32738849
FII;697;ISNT11;0,00%;0;1,012283441;0,004566883;7002638,5;0;-513474609;-4,472982044;;;
STOCK;5;PETR4;0,00%;0;1,304035637;-0,529018127;0;0;0;-5,46214193;7,295155744;17,87991425;17,0708218
STOCK;44;ITUB4;0,00%;0;1,697442417;-0,929409145;0;0;0;-6,628393795;8,816836118;19,0990023;19,68309104
STOCK;18;VALE3;0,00%;0;1,736057577;-0,01129159;0;0;0;-8,657704706;11,41966726;27,68697202;20,35426619
STOCK;308;BBSE3;0,00%;0;6,77765863;-0,327555779;0;0;0;-33,23318159;8,867117923;77,31208553;70,53152067
